"patient","seed","var","z","converged_ys","frac1","frac2","burn"
"p1","23999","mono_therapy_dnds_gewek",0.289223180018756,"yes",0.33,0.33,0.35
"p1","23999","combo_therapy_dnds_gewek",0.663661847535171,"yes",0.33,0.33,0.35
"p1","23999","mutation_rate_gewek",-0.598999668700485,"yes",0.33,0.33,0.35
"p1","32153","mono_therapy_dnds_gewek",1.01819726336497,"yes",0.33,0.33,0.35
"p1","32153","combo_therapy_dnds_gewek",0.127808150759275,"yes",0.33,0.33,0.35
"p1","32153","mutation_rate_gewek",-0.0867549879593342,"yes",0.33,0.33,0.35
"p1","7384","mono_therapy_dnds_gewek",3.13947923284952,"no",0.33,0.33,0.35
"p1","7384","combo_therapy_dnds_gewek",0.69603777444899,"yes",0.33,0.33,0.35
"p1","7384","mutation_rate_gewek",-1.72200984871607,"yes",0.33,0.33,0.35
"p100","27278","mono_therapy_dnds_gewek",4.3438845991519,"no",0.33,0.33,0.35
"p100","27278","combo_therapy_dnds_gewek",-0.715516093675653,"yes",0.33,0.33,0.35
"p100","27278","mutation_rate_gewek",0.281312443108163,"yes",0.33,0.33,0.35
"p100","29109","mono_therapy_dnds_gewek",2.82730770133433,"no",0.33,0.33,0.35
"p100","29109","combo_therapy_dnds_gewek",0.73118726523759,"yes",0.33,0.33,0.35
"p100","29109","mutation_rate_gewek",1.50300091735125,"yes",0.33,0.33,0.35
"p100","4816","mono_therapy_dnds_gewek",0.358583517908581,"yes",0.33,0.33,0.35
"p100","4816","combo_therapy_dnds_gewek",0.00957494319955907,"yes",0.33,0.33,0.35
"p100","4816","mutation_rate_gewek",1.32664542314126,"yes",0.33,0.33,0.35
"p106","10744","mono_therapy_dnds_gewek",-0.269680539112395,"yes",0.33,0.33,0.35
"p106","10744","combo_therapy_dnds_gewek",-1.65657091737696,"yes",0.33,0.33,0.35
"p106","10744","mutation_rate_gewek",2.98850867975187,"no",0.33,0.33,0.35
"p106","27294","mono_therapy_dnds_gewek",1.00548284137171,"yes",0.33,0.33,0.35
"p106","27294","combo_therapy_dnds_gewek",-0.562142699243016,"yes",0.33,0.33,0.35
"p106","27294","mutation_rate_gewek",0.518331073614104,"yes",0.33,0.33,0.35
"p106","28248","mono_therapy_dnds_gewek",0.864419673791316,"yes",0.33,0.33,0.35
"p106","28248","combo_therapy_dnds_gewek",-3.50348718154196,"no",0.33,0.33,0.35
"p106","28248","mutation_rate_gewek",2.50944374971664,"no",0.33,0.33,0.35
"p126","1507","mono_therapy_dnds_gewek",-0.218313643545865,"yes",0.33,0.33,0.35
"p126","1507","combo_therapy_dnds_gewek",1.41050134856565,"yes",0.33,0.33,0.35
"p126","1507","mutation_rate_gewek",-1.42512466145419,"yes",0.33,0.33,0.35
"p126","28813","mono_therapy_dnds_gewek",1.26309121749273,"yes",0.33,0.33,0.35
"p126","28813","combo_therapy_dnds_gewek",-0.359531128455975,"yes",0.33,0.33,0.35
"p126","28813","mutation_rate_gewek",-0.433995300313182,"yes",0.33,0.33,0.35
"p126","3988","mono_therapy_dnds_gewek",2.88642200135648,"no",0.33,0.33,0.35
"p126","3988","combo_therapy_dnds_gewek",-2.80350724669054,"no",0.33,0.33,0.35
"p126","3988","mutation_rate_gewek",0.170060039914167,"yes",0.33,0.33,0.35
"p132","11873","mono_therapy_dnds_gewek",3.92817208257108,"no",0.33,0.33,0.35
"p132","11873","combo_therapy_dnds_gewek",1.41645525103711,"yes",0.33,0.33,0.35
"p132","11873","mutation_rate_gewek",-0.617330627354572,"yes",0.33,0.33,0.35
"p132","12543","mono_therapy_dnds_gewek",1.47181359870114,"yes",0.33,0.33,0.35
"p132","12543","combo_therapy_dnds_gewek",-1.65305430084038,"yes",0.33,0.33,0.35
"p132","12543","mutation_rate_gewek",2.66580109315717,"no",0.33,0.33,0.35
"p132","14118","mono_therapy_dnds_gewek",0.965755460299365,"yes",0.33,0.33,0.35
"p132","14118","combo_therapy_dnds_gewek",0.0555611914136849,"yes",0.33,0.33,0.35
"p132","14118","mutation_rate_gewek",-1.29536422808563,"yes",0.33,0.33,0.35
"p156","11661","mono_therapy_dnds_gewek",1.60798716765906,"yes",0.33,0.33,0.35
"p156","11661","combo_therapy_dnds_gewek",0.00220171356292254,"yes",0.33,0.33,0.35
"p156","11661","mutation_rate_gewek",0.143273900118253,"yes",0.33,0.33,0.35
"p156","14328","mono_therapy_dnds_gewek",1.76692124819014,"yes",0.33,0.33,0.35
"p156","14328","combo_therapy_dnds_gewek",0.452007937528681,"yes",0.33,0.33,0.35
"p156","14328","mutation_rate_gewek",1.69206333865024,"yes",0.33,0.33,0.35
"p156","15854","mono_therapy_dnds_gewek",2.41857340343543,"no",0.33,0.33,0.35
"p156","15854","combo_therapy_dnds_gewek",1.67037330321956,"yes",0.33,0.33,0.35
"p156","15854","mutation_rate_gewek",-5.33129523903769,"no",0.33,0.33,0.35
"p21","15349","mono_therapy_dnds_gewek",4.61408057983406,"no",0.33,0.33,0.35
"p21","15349","combo_therapy_dnds_gewek",-0.0197744158284553,"yes",0.33,0.33,0.35
"p21","15349","mutation_rate_gewek",-4.09957025170487,"no",0.33,0.33,0.35
"p21","29246","mono_therapy_dnds_gewek",2.90946747254658,"no",0.33,0.33,0.35
"p21","29246","combo_therapy_dnds_gewek",-3.13033051854765,"no",0.33,0.33,0.35
