"patient","seed","var","z","converged_ys","frac1","frac2","burn"
"p1","23999","mono_therapy_dnds_gewek",1.52750266542294,"yes",0.49,0.5,0.7
"p1","23999","combo_therapy_dnds_gewek",-0.461779492912572,"yes",0.49,0.5,0.7
"p1","23999","mutation_rate_gewek",0.752025474757275,"yes",0.49,0.5,0.7
"p1","32153","mono_therapy_dnds_gewek",0.665924730587353,"yes",0.49,0.5,0.7
"p1","32153","combo_therapy_dnds_gewek",-0.70355731427954,"yes",0.49,0.5,0.7
"p1","32153","mutation_rate_gewek",0.545660737228843,"yes",0.49,0.5,0.7
"p1","7384","mono_therapy_dnds_gewek",-2.81338100563245,"no",0.49,0.5,0.7
"p1","7384","combo_therapy_dnds_gewek",1.09081171569124,"yes",0.49,0.5,0.7
"p1","7384","mutation_rate_gewek",0.344014063029969,"yes",0.49,0.5,0.7
"p100","27278","mono_therapy_dnds_gewek",-0.569471599232398,"yes",0.49,0.5,0.7
"p100","27278","combo_therapy_dnds_gewek",0.382952854218588,"yes",0.49,0.5,0.7
"p100","27278","mutation_rate_gewek",0.365798127516355,"yes",0.49,0.5,0.7
"p100","29109","mono_therapy_dnds_gewek",2.59486674370234,"no",0.49,0.5,0.7
"p100","29109","combo_therapy_dnds_gewek",-0.791606187487067,"yes",0.49,0.5,0.7
"p100","29109","mutation_rate_gewek",0.405303648179885,"yes",0.49,0.5,0.7
"p100","4816","mono_therapy_dnds_gewek",0.240570869407852,"yes",0.49,0.5,0.7
"p100","4816","combo_therapy_dnds_gewek",0.748918120402879,"yes",0.49,0.5,0.7
"p100","4816","mutation_rate_gewek",-0.503268938784017,"yes",0.49,0.5,0.7
"p106","10744","mono_therapy_dnds_gewek",-0.104178086173054,"yes",0.49,0.5,0.7
"p106","10744","combo_therapy_dnds_gewek",-2.57379869168863,"no",0.49,0.5,0.7
"p106","10744","mutation_rate_gewek",1.0009388204227,"yes",0.49,0.5,0.7
"p106","27294","mono_therapy_dnds_gewek",-0.392752850907376,"yes",0.49,0.5,0.7
"p106","27294","combo_therapy_dnds_gewek",0.494568380546173,"yes",0.49,0.5,0.7
"p106","27294","mutation_rate_gewek",-0.320517184336655,"yes",0.49,0.5,0.7
"p106","28248","mono_therapy_dnds_gewek",-1.4538239445455,"yes",0.49,0.5,0.7
"p106","28248","combo_therapy_dnds_gewek",-0.264960240952388,"yes",0.49,0.5,0.7
"p106","28248","mutation_rate_gewek",1.91782109067792,"yes",0.49,0.5,0.7
"p126","1507","mono_therapy_dnds_gewek",1.4002262247243,"yes",0.49,0.5,0.7
"p126","1507","combo_therapy_dnds_gewek",0.848852389270446,"yes",0.49,0.5,0.7
"p126","1507","mutation_rate_gewek",-0.143538967913758,"yes",0.49,0.5,0.7
"p126","28813","mono_therapy_dnds_gewek",3.02098317788027,"no",0.49,0.5,0.7
"p126","28813","combo_therapy_dnds_gewek",-0.870250512457444,"yes",0.49,0.5,0.7
"p126","28813","mutation_rate_gewek",0.520023032672077,"yes",0.49,0.5,0.7
"p126","3988","mono_therapy_dnds_gewek",0.093973231870773,"yes",0.49,0.5,0.7
"p126","3988","combo_therapy_dnds_gewek",1.06302783161698,"yes",0.49,0.5,0.7
"p126","3988","mutation_rate_gewek",0.690525153389278,"yes",0.49,0.5,0.7
"p132","11873","mono_therapy_dnds_gewek",0.515379297839197,"yes",0.49,0.5,0.7
"p132","11873","combo_therapy_dnds_gewek",-1.49572052526141,"yes",0.49,0.5,0.7
"p132","11873","mutation_rate_gewek",1.12613654305964,"yes",0.49,0.5,0.7
"p132","12543","mono_therapy_dnds_gewek",-0.240769747340662,"yes",0.49,0.5,0.7
"p132","12543","combo_therapy_dnds_gewek",0.00203574364079517,"yes",0.49,0.5,0.7
"p132","12543","mutation_rate_gewek",0.438216417033409,"yes",0.49,0.5,0.7
"p132","14118","mono_therapy_dnds_gewek",0.833124146617414,"yes",0.49,0.5,0.7
"p132","14118","combo_therapy_dnds_gewek",-0.207836833539242,"yes",0.49,0.5,0.7
"p132","14118","mutation_rate_gewek",-0.899679078798127,"yes",0.49,0.5,0.7
"p156","11661","mono_therapy_dnds_gewek",0.0670082839070155,"yes",0.49,0.5,0.7
"p156","11661","combo_therapy_dnds_gewek",1.42193560357704,"yes",0.49,0.5,0.7
"p156","11661","mutation_rate_gewek",-3.02465040012749,"no",0.49,0.5,0.7
"p156","14328","mono_therapy_dnds_gewek",1.91764782192753,"yes",0.49,0.5,0.7
"p156","14328","combo_therapy_dnds_gewek",1.30703120357789,"yes",0.49,0.5,0.7
"p156","14328","mutation_rate_gewek",-0.195862646072699,"yes",0.49,0.5,0.7
"p156","15854","mono_therapy_dnds_gewek",0.406442456529278,"yes",0.49,0.5,0.7
"p156","15854","combo_therapy_dnds_gewek",1.55912277880301,"yes",0.49,0.5,0.7
"p156","15854","mutation_rate_gewek",-1.84894690328381,"yes",0.49,0.5,0.7
"p21","15349","mono_therapy_dnds_gewek",1.41981014656858,"yes",0.49,0.5,0.7
"p21","15349","combo_therapy_dnds_gewek",0.1102334106024,"yes",0.49,0.5,0.7
"p21","15349","mutation_rate_gewek",-1.17844408591363,"yes",0.49,0.5,0.7
"p21","29246","mono_therapy_dnds_gewek",-0.0271099039736673,"yes",0.49,0.5,0.7
"p21","29246","combo_therapy_dnds_gewek",-1.48225295514935,"yes",0.49,0.5,0.7
"p21","29246","mutation_rate_gewek",0.985578765597009,"yes",0.49,0.5,0.7
"p21","9535","mono_therapy_dnds_gewek",-1.90829025184978,"yes",0.49,0.5,0.7
"p21","9535","combo_therapy_dnds_gewek",-2.93602698519395,"no",0.49,0.5,0.7
"p21","9535","mutation_rate_gewek",1.39740771160021,"yes",0.49,0.5,0.7
"p26","15616","mono_therapy_dnds_gewek",2.02452671928972,"no",0.49,0.5,0.7
"p26","15616","combo_therapy_dnds_gewek",-1.19439016475815,"yes",0.49,0.5,0.7
"p26","15616","mutation_rate_gewek",1.38649139030166,"yes",0.49,0.5,0.7
"p26","21187","mono_therapy_dnds_gewek",1.10598334108596,"yes",0.49,0.5,0.7
"p26","21187","combo_therapy_dnds_gewek",-1.57695778651555,"yes",0.49,0.5,0.7
